wikipedia_name_in_english,wikipedia_name_in_native_language,language,script,wp_code
Afrikaans Wikipedia,Afrikaanse Wikipedia,Afrikaans,Latn,af
Albanian Wikipedia,Wikipedia shqip,Albanian,Latn,sq
Alemannic Wikipedia,Alemannische Wikipedia,Alemannic German,Latn,als
Arabic Wikipedia,ويكيبيديا العربية,Arabic,Arab,ar
Aragonese Wikipedia,Biquipedia en aragonés,Aragonese,Latn,an
Armenian Wikipedia,Հայերեն Վիքիպեդիա,Armenian,Armn,hy
Assamese Wikipedia,অসমীয়া ৱিকিপিডিয়া,Assamese,Beng,as
Asturian Wikipedia,Wikipedia n'asturianu,Asturian,Latn,ast
Azerbaijani Wikipedia,Azərbaycanca Vikipediya,Azerbaijani,Latn,az
Bashkir Wikipedia,Башҡорт Википедияһы,Bashkir,Cyrl,ba
Basque Wikipedia,Euskarazko Wikipedia,Basque,Latn,eu
Belarusian Wikipedia,Беларуская Вікіпедыя,Belarusian (Narkamaŭka),Cyrl,be
Belarusian Wikipedia (Classical),Беларуская Вікіпэдыя,Belarusian,Cyrl,be-tarask
Bengali Wikipedia,বাংলা উইকিপিডিয়া,Bengali,Beng,bn
Bosnian Wikipedia,Wikipedia na bosanskom jeziku,Bosnian,Latn,bs
Breton Wikipedia,Wikipedia e brezhoneg,Breton,Latn,br
Bulgarian Wikipedia,Българоезична Уикипедия,Bulgarian,Cyrl,bg
Burmese Wikipedia,မြန်မာဝီကီပီးဒီးယား,Burmese,Mymr,my
Cantonese Wikipedia,Traditional Chinese: 粵文維基百科,Cantonese,Hant,zh-yue
Catalan Wikipedia,Viquipèdia en català,Catalan,Latn,ca
Cebuano Wikipedia,Wikipedya sa Sinugboanon,Cebuano,Latn,ceb
Central Bikol Wikipedia,Wikipedyang Bikol Sentral,Central Bikol,Latn,bcl
Chinese Wikipedia,"Traditional Chinese: 中文維基百科,",Chinese (written vernacular),Hans/Hant,zh
Croatian Wikipedia,Hrvatska Wikipedija,Croatian,Latn,hr
Czech Wikipedia,Česká Wikipedie,Czech,Latn,cs
Danish Wikipedia,Dansk Wikipedia,Danish,Latn,da
Dutch Wikipedia,Nederlandstalige Wikipedia,Dutch,Latn,nl
Egyptian Arabic Wikipedia,ويكيپيديا مصرى,Egyptian Arabic,Arab,arz
English Wikipedia,English Wikipedia,English,Latn,en
Esperanto Wikipedia,Vikipedio en Esperanto,Esperanto,Latn,eo
Estonian Wikipedia,Eestikeelne Vikipeedia,Estonian,Latn,et
