local_name,english_name,property_type,is_local,language,script,wp_code
Harry Potter,Harry Potter,books,False,Afrikaans,Latn,af
Star Wars,Star Wars,movies,False,Afrikaans,Latn,af
Casper de Vries,Casper de Vries,comedy,True,Afrikaans,Latn,af
Minecraft,Minecraft,video games,False,Afrikaans,Latn,af
Bakgat,Bakgat,movies,True,Afrikaans,Latn,af
Formula 1,Formula 1,sports,False,Afrikaans,Latn,af
Die Hard,Die Hard,movies,False,Afrikaans,Latn,af
Getroud met Rugby,Getroud met Rugby,tv shows,True,Afrikaans,Latn,af
Assassin's Creed,Assassin's Creed,video games,False,Afrikaans,Latn,af
Super Rugby,Super Rugby,sports,True,Afrikaans,Latn,af
Fokofpolisiekar,Fokofpolisiekar,music,True,Afrikaans,Latn,af
The Lord of the Rings,The Lord of the Rings,books,False,Afrikaans,Latn,af
Egoli,Egoli,tv shows,True,Afrikaans,Latn,af
Game of Thrones,Game of Thrones,tv shows,False,Afrikaans,Latn,af
Skeem Saam,Skeem Saam,tv shows,True,Afrikaans,Latn,af
The Lion King,The Lion King,movies,False,Afrikaans,Latn,af
Matilda,Matilda,books,False,Afrikaans,Latn,af
FIFA,FIFA,video games,False,Afrikaans,Latn,af
Die Antwoord,Die Antwoord,music,True,Afrikaans,Latn,af
District 9,District 9,movies,True,Afrikaans,Latn,af
Merlin,Merlin,tv shows,False,Albanian,Latn,sq
The Witcher,The Witcher,video games,False,Albanian,Latn,sq
Spider-Man,Spider-Man,movies,False,Albanian,Latn,sq
Great Expectations,Great Expectations,books,False,Albanian,Latn,sq
Macbeth,Macbeth,books,False,Albanian,Latn,sq
Poker,Poker,games,False,Albanian,Latn,sq
Shota e Vogël,Little Red Riding Hood,books,True,Albanian,Latn,sq
Assassin's Creed,Assassin's Creed,video games,False,Albanian,Latn,sq
Sherlock Holmes,Sherlock Holmes,books,False,Albanian,Latn,sq
Frozen,Frozen,movies,False,Albanian,Latn,sq
Skënderbeu,Skanderbeg,movies,True,Albanian,Latn,sq
Breaking Bad,Breaking Bad,tv shows,False,Albanian,Latn,sq
Game of Thrones,Game of Thrones,tv shows,False,Albanian,Latn,sq
Tetris,Tetris,video games,False,Albanian,Latn,sq
Kodi i Hekurit,Iron Man,movies,False,Albanian,Latn,sq
Harry Potter,Harry Potter,books,False,Albanian,Latn,sq
Dora e Explorës,Dora the Explorer,tv shows,False,Albanian,Latn,sq
Zonja Fazilet dhe te bijat,Mrs. Fazilet and Her Daughters,tv shows,True,Albanian,Latn,sq
Kush e solli Dorën e Aura,Who Brought Aura's Hand,books,True,Albanian,Latn,sq
Lojërat e Famshëm të Kohës,Famous Games of Time,video games,True,Albanian,Latn,sq
Game of Thrones,Game of Thrones,tv shows,False,Alemannic German,Latn,als
Biene Maja,Maya the Bee,tv shows,True,Alemannic German,Latn,als
Fallout,Fallout,video games,False,Alemannic German,Latn,als
Mia and me,Mia and me,tv shows,False,Alemannic German,Latn,als
Die unendliche Geschichte,The Neverending Story,books,True,Alemannic German,Latn,als
Pokémon,Pokémon,tv shows,False,Alemannic German,Latn,als
Bundesliga,Bundesliga,sports,True,Alemannic German,Latn,als
Assassins Creed,Assassin's Creed,video games,False,Alemannic German,Latn,als
Asterix,Asterix,comics,True,Alemannic German,Latn,als
Overwatch,Overwatch,video games,False,Alemannic German,Latn,als
Pippi Langstrumpf,Pippi Longstocking,books,True,Alemannic German,Latn,als
Harry Potter,Harry Potter,books,False,Alemannic German,Latn,als
Minecraft,Minecraft,video games,False,Alemannic German,Latn,als
Wickie,Vicky the Viking,tv shows,True,Alemannic German,Latn,als
Tatort,Crime Scene,tv shows,True,Alemannic German,Latn,als
Star Wars,Star Wars,movies,False,Alemannic German,Latn,als
Winnetou,Winnetou,books,True,Alemannic German,Latn,als
Simpsons,The Simpsons,tv shows,False,Alemannic German,Latn,als
Herr der Ringe,The Lord of the Rings,books,False,Alemannic German,Latn,als
Löwenzahn,Dandelion,tv shows,True,Alemannic German,Latn,als
أساطير العرب,Arabian Legends,books,True,Arabic,Arab,ar
المملكة الكاملة,The Full Kingdom,tv shows,True,Arabic,Arab,ar
حكاية من الزمن السابق,A Tale of Time Gone By,movies,True,Arabic,Arab,ar
محاربو الظل,Warriors of Shadow,video games,True,Arabic,Arab,ar
المغامر الأسطوري,The Legendary Adventurer,video games,True,Arabic,Arab,ar
ألغاز الماضي,Puzzles of the Past,tv shows,True,Arabic,Arab,ar
أسطورة الصحراء,Legend of the Desert,movies,True,Arabic,Arab,ar
السيدة الدرامية,The Dramatic Lady,movies,True,Arabic,Arab,ar
سندباد,Sinbad,books,True,Arabic,Arab,ar
المحقق كونان,Detective Conan,tv shows,False,Arabic,Arab,ar
العالم السحري لوارتش,The Wizarding World of Harry Potter,movies,False,Arabic,Arab,ar
أعظم كاهن,The High Priest,books,True,Arabic,Arab,ar
دراغون بول,Dragon Ball,tv shows,False,Arabic,Arab,ar
القناص,Hunter x Hunter,tv shows,False,Arabic,Arab,ar
مارفل,Marvel,comic books,False,Arabic,Arab,ar
هاري بوتر,Harry Potter,books,False,Arabic,Arab,ar
سبايدرمان,Spiderman,comic books,False,Arabic,Arab,ar
ألعاب الجوع,The Hunger Games,movies,False,Arabic,Arab,ar
قصة ويلاندر,The Witcher,video games,False,Arabic,Arab,ar
فانتوم آير,Phantom Air,tv shows,True,Arabic,Arab,ar
FIFA,FIFA,video games,False,Aragonese,Latn,an
Dracula,Dracula,books,False,Aragonese,Latn,an
Super Mario Bros,Super Mario Bros,video games,False,Aragonese,Latn,an
The Witcher,The Witcher,books,False,Aragonese,Latn,an
Grand Theft Auto,Grand Theft Auto,video games,False,Aragonese,Latn,an
Pillars of the Earth,Pillars of the Earth,books,False,Aragonese,Latn,an
El último reino,The Last Kingdom,tv shows,False,Aragonese,Latn,an
La Casa de las Flores,The House of Flowers,tv shows,False,Aragonese,Latn,an
El Ministerio del Tiempo,The Ministry of Time,tv shows,True,Aragonese,Latn,an
Star Wars,Star Wars,movies,False,Aragonese,Latn,an
Amar en tiempos revueltos,To Love in Troubled Times,tv shows,True,Aragonese,Latn,an
Harry Potter,Harry Potter,books,False,Aragonese,Latn,an
Juego de Tronos,Game of Thrones,tv shows,False,Aragonese,Latn,an
El Señor de los Anillos,The Lord of the Rings,books,False,Aragonese,Latn,an
El Hobbit,The Hobbit,books,False,Aragonese,Latn,an
Crónica de un pueblo,Chronicle of a People,tv shows,True,Aragonese,Latn,an
Los Vengadores,The Avengers,movies,False,Aragonese,Latn,an
El Señor de los Anillos: La Comunidad del Anillo,The Lord of the Rings: The Fellowship of the Ring,movies,False,Aragonese,Latn,an
La Casa de Papel,Money Heist,tv shows,True,Aragonese,Latn,an
Assassin's Creed,Assassin's Creed,video games,False,Aragonese,Latn,an
Մարտ,March,movies,True,Armenian,Armn,hy
Վաշտածամեղեել,Vashtakameghel,books,True,Armenian,Armn,hy
Բանբեր,Bambir,band,True,Armenian,Armn,hy
Սիրահաշիկ պարսկական սերիալ,Loving Persian series,tv shows,True,Armenian,Armn,hy
Խրթխվենցքային Ֆիլմ,Highlander Film,movies,True,Armenian,Armn,hy
Տեսամարտ,TV show,tv shows,True,Armenian,Armn,hy
Ընձեւական սագի,Traditional sauce,books,True,Armenian,Armn,hy
Հայկակոչների օրագիր,Armenian calendar,books,True,Armenian,Armn,hy
Շատ ճանաչեցի լեզուն,I knew the language very well,books,True,Armenian,Armn,hy
Սասնա Ծռեր,Sasna Tsrer,tv show,True,Armenian,Armn,hy
ԽԿԱՆԱՐ,Unsealed,books,True,Armenian,Armn,hy
Ոսկայով տեխնիկա,Golden technology,video games,False,Armenian,Armn,hy
Էնդջելս,Angels,movies,False,Armenian,Armn,hy
Բատման,Batman,comic books,False,Armenian,Armn,hy
Կսպերսկեն Վարկ,Spartacus,tv shows,False,Armenian,Armn,hy
