Rank,Country,Population2023,YearlyChange,NetChange,Density(P/Km²),Land Area(Km²),Migrants(net),Fert.Rate,MedianAge,UrbanPop%,WorldShare
36,Afghanistan,42239854,2.70 %,1111083,65,652860,-65846,4.4,17,26 %,0.53 %
138,Albania,2832439,-0.35 %,-9882,103,27400,-8000,1.4,38,67 %,0.04 %
34,Algeria,45606480,1.57 %,703255,19,2381740,-9999,2.8,28,75 %,0.57 %
212,American Samoa,43914,-0.81 %,-359,220,200,-790,2.2,29,N.A.,0.00 %
202,Andorra,80088,0.33 %,264,170,470,200,1.1,43,85 %,0.00 %
42,Angola,36684202,3.08 %,1095215,29,1246700,-1000,5.1,16,68 %,0.46 %
223,Anguilla,15899,0.26 %,42,177,90,0,1.3,38,98 %,0.00 %
200,Antigua and Barbuda,94298,0.57 %,535,214,440,0,1.6,36,28 %,0.00 %
33,Argentina,45773884,0.58 %,263566,17,2736690,3718,1.9,32,94 %,0.57 %
140,Armenia,2777970,-0.09 %,-2499,98,28470,-5000,1.6,35,67 %,0.03 %
197,Aruba,106277,-0.16 %,-168,590,180,157,1.2,42,45 %,0.00 %
55,Australia,26439111,1.00 %,261698,3,7682300,139991,1.6,38,86 %,0.33 %
100,Austria,8958960,0.22 %,19343,109,82409,19999,1.5,43,59 %,0.11 %
90,Azerbaijan,10412651,0.53 %,54577,126,82658,0,1.7,32,57 %,0.13 %
177,Bahamas,412623,0.64 %,2639,41,10010,1000,1.4,33,85 %,0.01 %
154,Bahrain,1485509,0.90 %,13276,1955,760,0,1.8,34,N.A.,0.02 %
8,Bangladesh,172954319,1.03 %,1767947,1329,130170,-309977,1.9,27,41 %,2.15 %
187,Barbados,281995,0.13 %,360,656,430,-80,1.6,40,32 %,0.00 %
97,Belarus,9498238,-0.39 %,-36716,47,202910,-4282,1.5,41,80 %,0.12 %
82,Belgium,11686140,0.26 %,30210,386,30280,23999,1.6,41,99 %,0.15 %
178,Belize,410825,1.37 %,5553,18,22810,600,2,26,48 %,0.01 %
77,Benin,13712828,2.70 %,359964,122,112760,-200,4.8,18,48 %,0.17 %
205,Bermuda,64069,-0.18 %,-115,1281,50,0,1.4,46,94 %,0.00 %
165,Bhutan,787424,0.64 %,4969,21,38117,300,1.4,29,49 %,0.01 %
80,Bolivia,12388571,1.35 %,164461,11,1083300,-3000,2.5,24,69 %,0.15 %
137,Bosnia and Herzegovina,3210847,-0.70 %,-22679,63,51000,-500,1.3,42,54 %,0.04 %
144,Botswana,2675352,1.71 %,45056,5,566730,3000,2.7,24,69 %,0.03 %
7,Brazil,216422446,0.52 %,1108948,26,8358140,6000,1.6,34,88 %,2.69 %
219,British Virgin Islands,31538,0.74 %,233,210,150,200,1,39,53 %,0.00 %
176,Brunei ,452524,0.78 %,3522,86,5270,0,1.7,33,80 %,0.01 %
